Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3441,2019-04-28,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,1989-11-21,NV,Male,Asian,Widowed,Exceeds,4,2022-10-30,4,2,5,2023-01-08,Project Management,Internal,Passed,4,450.2,30
3442,2019-07-09,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,1952-11-24,MA,Male,Black,Single,Exceeds,2,2022-10-31,2,5,3,2023-03-06,Project Management,External,Failed,4,286.87,67
3443,2021-04-05,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,1994-08-04,KY,Male,Asian,Widowed,Fully Meets,3,2023-04-29,2,2,4,2023-02-18,Technical Skills,External,Failed,3,402.13,27
3444,2021-11-28,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,1983-11-15,KY,Male,Other,Widowed,Fully Meets,3,2022-12-14,1,2,4,2022-11-02,Technical Skills,External,Failed,2,388.84,38
3445,2021-01-16,Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,1985-07-12,KY,Female,Other,Married,Exceeds,4,2023-07-05,4,5,2,2023-07-14,Project Management,External,Completed,2,879.64,36
3446,2021-08-24,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,1996-01-05,TX,Female,White,Divorced,Exceeds,2,2023-05-21,4,3,5,2022-12-11,Technical Skills,Internal,Failed,5,701.13,25
3450,2020-09-01,Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,1994-11-08,CO,Male,Other,Single,Exceeds,2,2023-01-18,4,3,5,2023-01-12,Technical Skills,Internal,Completed,4,186.07,26
3451,2021-02-18,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,1968-01-15,CO,Male,Other,Divorced,Exceeds,3,2023-04-29,5,1,2,2023-03-22,Technical Skills,External,Completed,1,921.97,53
3452,2022-11-08,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,1947-07-01,IN,Male,Black,Divorced,Fully Meets,2,2023-01-19,5,5,2,2022-09-13,Customer Service,Internal,Failed,1,691.04,75
3453,2022-10-13,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,1982-07-04,MA,Male,White,Widowed,Fully Meets,4,2022-09-17,5,5,3,2022-08-25,Customer Service,External,Completed,5,964.44,40
3454,2022-09-11,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,1970-01-29,KY,Male,Hispanic,Married,Needs Improvement,4,2023-03-14,4,4,2,2023-02-07,Communication Skills,Internal,Passed,3,184.9,52
3455,2021-06-29,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,1999-01-18,KY,Male,Other,Widowed,Exceeds,4,2022-12-08,2,1,1,2023-03-17,Project Management,External,Passed,1,220.41,22
3456,2023-03-06,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,1946-09-25,KY,Female,Black,Divorced,Fully Meets,3,2023-03-30,4,3,4,2023-06-08,Technical Skills,External,Passed,2,336.82,77
3457,2020-09-25,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,1947-08-23,KY,Female,White,Divorced,Needs Improvement,3,2023-04-21,5,1,4,2023-04-15,Customer Service,External,Completed,4,485.73,73
3460,2020-02-19,Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,1944-10-02,TX,Male,Asian,Married,Fully Meets,3,2022-11-16,4,3,3,2023-07-08,Communication Skills,External,Incomplete,5,919.52,76
3462,2018-09-13,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,1942-09-08,CO,Male,Hispanic,Divorced,Needs Improvement,3,2022-08-11,3,3,1,2023-07-19,Project Management,External,Completed,1,320.01,76
3463,2020-04-30,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,1951-06-21,IN,Male,Hispanic,Single,Fully Meets,1,2022-09-18,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,4,926.19,69
3464,2018-12-03,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),1998-06-17,MA,Male,Black,Widowed,Needs Improvement,5,2022-12-29,2,5,3,2022-11-13,Customer Service,External,Passed,2,290.47,20
3465,2021-11-08,Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,1962-07-01,MA,Male,Asian,Divorced,Needs Improvement,3,2023-05-19,5,4,3,2023-06-04,Communication Skills,External,Incomplete,1,706.1,59
3466,2022-04-13,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,1979-01-26,KY,Male,Other,Married,Exceeds,4,2023-04-08,1,3,4,2022-12-07,Customer Service,External,Passed,3,447.66,43
3467,2020-05-06,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,1987-05-14,KY,Female,Asian,Divorced,Exceeds,1,2023-06-27,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,1,759.7,33
3468,2019-09-09,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,1998-04-26,KY,Female,Black,Single,Fully Meets,4,2023-05-02,3,1,3,2023-05-10,Customer Service,Internal,Completed,3,180.63,21
3471,2020-02-29,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1967-03-01,TX,Male,Asian,Married,Fully Meets,4,2023-04-30,2,4,1,2023-03-23,Customer Service,External,Passed,3,109.98,53
3472,2023-01-15,Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,1982-12-01,TX,Male,Other,Married,Exceeds,4,2023-07-26,5,5,4,2023-02-12,Technical Skills,External,Completed,5,537.24,41
3473,2023-06-29,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),1950-01-10,CO,Male,Hispanic,Widowed,Exceeds,2,2023-06-28,3,4,4,2022-12-06,Communication Skills,External,Failed,5,789.99,73
3474,2020-03-09,Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,1965-12-16,CO,Male,Other,Divorced,Fully Meets,2,2023-09-05,3,1,2,2022-09-01,Customer Service,External,Incomplete,5,155.51,55
3475,2021-09-21,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,1957-12-25,IN,Male,Asian,Widowed,Fully Meets,2,2023-01-25,4,3,4,2022-11-02,Customer Service,Internal,Passed,2,648.76,64
3476,2023-06-12,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,1945-06-20,MA,Male,Asian,Divorced,Needs Improvement,2,2023-03-03,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,4,533.5,78
3477,2019-04-07,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,1969-03-12,KY,Female,Asian,Widowed,Needs Improvement,2,2022-05-12,1,2,1,2022-11-07,Leadership Development,External,Failed,5,429.48,50
3478,2018-09-17,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,1957-10-10,KY,Female,Hispanic,Married,Fully Meets,2,2022-11-29,3,4,1,2022-10-05,Technical Skills,External,Incomplete,1,526.74,61
3479,2022-08-02,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,1962-05-17,TX,Female,Hispanic,Widowed,Fully Meets,2,2022-03-11,4,4,4,2023-01-18,Communication Skills,Internal,Passed,3,443.45,60
3483,2021-09-26,Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,1964-06-19,CO,Male,Asian,Widowed,Fully Meets,1,2022-10-23,1,4,5,2022-08-10,Project Management,External,Passed,4,111.96,57
3484,2018-08-29,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,1995-07-18,CO,Male,Other,Single,Fully Meets,4,2022-09-16,1,2,4,2023-06-27,Project Management,External,Passed,1,795.7,23
3485,2021-10-26,Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,1994-08-22,CO,Male,White,Widowed,Fully Meets,5,2023-07-05,2,1,3,2022-08-07,Customer Service,Internal,Passed,2,796.45,27
3486,2022-10-31,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,1990-11-14,IN,Male,Other,Widowed,Fully Meets,4,2022-08-27,3,1,1,2023-07-23,Project Management,Internal,Completed,5,812.59,32
3487,2023-03-15,Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,1994-01-02,KY,Female,Other,Divorced,Fully Meets,4,2022-09-23,5,4,1,2023-07-17,Project Management,External,Completed,5,132.97,29
3488,2022-09-09,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,1997-12-11,KY,Female,Asian,Single,Fully Meets,2,2023-11-03,1,5,1,2022-09-20,Communication Skills,Internal,Completed,1,308.19,25
3489,2022-03-04,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,1953-02-05,TX,Female,Black,Divorced,Fully Meets,2,2022-03-12,2,4,5,2023-07-02,Project Management,Internal,Passed,1,131.41,69
3490,2019-02-11,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,1991-10-07,TX,Female,Hispanic,Divorced,Fully Meets,2,2022-12-10,5,3,2,2023-07-19,Technical Skills,Internal,Failed,3,389.59,28
3491,2021-01-26,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,1973-02-06,TX,Male,White,Widowed,Fully Meets,5,2022-10-09,3,4,5,2023-07-14,Project Management,Internal,Incomplete,3,442.56,48
3492,2019-11-26,Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,1993-08-01,CO,Male,Asian,Married,Fully Meets,1,2023-01-13,1,5,5,2022-09-06,Project Management,Internal,Incomplete,3,327.66,26
3493,2019-07-15,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,1984-04-17,CO,Male,Asian,Widowed,Fully Meets,5,2023-02-04,3,1,5,2023-02-19,Project Management,Internal,Completed,3,400.95,35
3494,2020-06-18,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,1994-08-02,CO,Male,Black,Single,Fully Meets,4,2022-12-15,1,2,1,2023-02-11,Technical Skills,Internal,Completed,2,910.45,26
3495,2023-06-22,Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,1993-01-27,IN,Male,Other,Married,Fully Meets,4,2022-08-09,4,3,5,2022-12-21,Customer Service,External,Passed,1,701.55,30
3496,2021-12-02,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,1964-09-19,CA,Male,Other,Widowed,Fully Meets,5,2022-12-26,1,3,2,2023-02-16,Project Management,Internal,Incomplete,1,806.87,57
3497,2021-12-08,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,1981-02-18,OR,Female,Hispanic,Widowed,Fully Meets,1,2022-09-18,2,3,4,2023-03-11,Communication Skills,Internal,Completed,2,184.21,40
3498,2023-04-26,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,1998-10-17,KY,Female,White,Widowed,Fully Meets,2,2023-06-19,3,3,4,2023-05-30,Project Management,External,Failed,1,208.43,25
3499,2018-09-25,Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1971-01-16,KY,Female,Asian,Widowed,Fully Meets,5,2023-07-21,5,3,5,2023-01-30,Technical Skills,Internal,Incomplete,2,762.45,47
3500,2018-11-20,Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),2000-02-25,TX,Female,White,Divorced,Fully Meets,1,2023-05-14,4,1,4,2023-06-15,Leadership Development,External,Incomplete,4,779.79,18
3502,2019-10-01,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,1976-06-29,TX,Male,White,Married,Fully Meets,1,2023-04-24,5,3,5,2023-01-03,Customer Service,External,Incomplete,3,427.12,43
3503,2022-01-20,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,1951-07-27,CO,Male,Other,Single,Fully Meets,4,2023-01-28,5,2,3,2023-02-20,Technical Skills,Internal,Completed,4,996.35,71
3504,2021-10-10,Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,1980-08-23,CO,Male,Hispanic,Married,Fully Meets,2,2023-04-20,3,4,3,2023-06-02,Communication Skills,Internal,Completed,5,963.23,41
3505,2020-08-29,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,1943-07-24,IN,Male,Hispanic,Widowed,Fully Meets,1,2022-10-11,4,3,2,2022-09-13,Leadership Development,Internal,Failed,5,260.97,77
3506,2019-08-27,Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,1988-06-07,IN,Male,Other,Married,Fully Meets,2,2023-06-27,2,2,3,2023-05-21,Leadership Development,Internal,Completed,1,781.81,31
3507,2021-02-25,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,1973-03-24,CA,Male,White,Single,Fully Meets,4,2023-03-31,2,5,2,2023-05-25,Project Management,Internal,Passed,4,651.77,48
3508,2021-07-13,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,1942-05-26,OR,Male,Asian,Single,Fully Meets,5,2023-04-17,1,5,4,2023-04-04,Communication Skills,External,Completed,1,568.22,79
3509,2021-04-14,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,1977-04-11,KY,Female,Black,Married,Fully Meets,2,2022-03-12,4,5,2,2023-03-04,Leadership Development,External,Completed,4,612.1,44
3510,2020-02-10,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,1956-10-17,KY,Female,Hispanic,Married,Fully Meets,2,2022-08-22,2,4,3,2022-10-27,Technical Skills,External,Completed,4,473.23,64
3511,2021-08-17,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,1997-02-18,KY,Female,Asian,Divorced,Fully Meets,4,2023-11-05,5,4,5,2023-04-07,Technical Skills,Internal,Completed,3,344.44,24
3514,2020-04-15,Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,1958-03-01,TX,Male,Asian,Married,Fully Meets,1,2022-08-25,2,1,1,2023-02-21,Leadership Development,Internal,Incomplete,3,975.46,62
3516,2022-04-07,Area Sales Manager,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,1988-06-25,CO,Male,Asian,Divorced,Fully Meets,5,2022-11-15,2,3,5,2023-06-22,Technical Skills,Internal,Incomplete,1,570.42,34
3517,2020-02-19,Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,1942-04-01,IN,Male,Hispanic,Widowed,Fully Meets,4,2023-01-01,4,1,1,2022-09-17,Technical Skills,Internal,Failed,3,391.31,78
3518,2021-04-10,Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,1969-05-24,CA,Female,Hispanic,Married,Fully Meets,2,2023-05-13,4,2,5,2023-06-27,Customer Service,Internal,Completed,3,826.58,52
3519,2021-12-19,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,1951-03-28,CA,Male,Hispanic,Widowed,Fully Meets,2,2023-10-06,1,3,4,2022-12-11,Leadership Development,External,Incomplete,4,930.69,70
3520,2020-12-13,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,1963-01-03,ND,Female,Black,Divorced,Fully Meets,1,2022-09-17,5,1,1,2022-09-11,Customer Service,External,Incomplete,1,607.93,57
3521,2019-02-26,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,1949-04-16,KY,Female,Asian,Divorced,Fully Meets,4,2022-09-19,1,3,3,2023-02-28,Communication Skills,Internal,Incomplete,5,723.5,70
3522,2020-03-02,Area Sales Manager,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,1983-12-10,KY,Female,Other,Single,Fully Meets,1,2023-07-14,1,5,4,2023-05-05,Communication Skills,External,Completed,5,394.04,37
3523,2021-06-25,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,1978-12-19,KY,Female,Other,Single,Fully Meets,2,2023-02-27,3,2,3,2023-07-10,Leadership Development,External,Incomplete,2,451.18,43
3526,2022-09-15,Area Sales Manager,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,1948-05-30,TX,Male,White,Widowed,Fully Meets,4,2023-01-28,1,5,3,2022-10-15,Customer Service,Internal,Passed,2,360.5,74
3527,2020-05-01,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,1974-10-15,CO,Male,Black,Married,Fully Meets,1,2023-02-27,1,3,2,2023-01-06,Project Management,Internal,Failed,4,396.28,46
3528,2022-10-13,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,1991-12-13,CO,Male,Hispanic,Widowed,Fully Meets,2,2023-05-27,5,2,2,2023-03-02,Technical Skills,External,Passed,1,465.96,31
3529,2020-01-03,Area Sales Manager,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,1994-06-18,IN,Male,Hispanic,Single,Fully Meets,2,2023-07-15,2,3,4,2022-09-04,Project Management,Internal,Incomplete,1,515.56,26
3530,2019-11-13,Area Sales Manager,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,1993-06-16,CA,Female,Black,Widowed,Fully Meets,2,2022-11-27,1,2,5,2023-01-18,Customer Service,External,Passed,2,496.85,26
3531,2023-06-17,Area Sales Manager,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,1943-05-18,CA,Male,Black,Divorced,Fully Meets,1,2023-02-24,2,4,4,2022-11-30,Leadership Development,External,Completed,3,629.46,80
3532,2021-10-14,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,1966-11-27,OR,Female,Black,Widowed,Fully Meets,1,2022-08-10,2,2,5,2023-05-02,Technical Skills,Internal,Failed,2,771.61,55
3533,2021-06-01,Area Sales Manager,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,1966-12-11,ND,Male,White,Married,Fully Meets,2,2023-08-01,2,5,2,2023-05-11,Leadership Development,Internal,Completed,4,418.4,55
3534,2018-09-14,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,1959-08-16,KY,Female,Asian,Single,Fully Meets,4,2023-04-14,4,3,2,2023-05-21,Customer Service,Internal,Completed,3,900.96,59
3535,2018-12-11,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,1994-02-02,KY,Female,Black,Single,Fully Meets,4,2022-01-11,1,5,1,2023-06-25,Technical Skills,External,Incomplete,1,936.96,24
3536,2022-08-06,Area Sales Manager,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,1989-02-01,GA,Female,Black,Single,Fully Meets,2,2022-09-10,1,2,4,2022-11-23,Leadership Development,External,Passed,5,269.03,33
3539,2019-12-08,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,1983-11-27,CO,Male,Hispanic,Single,Fully Meets,5,2023-06-02,3,3,4,2023-03-17,Project Management,External,Failed,4,234.77,36
3540,2020-03-12,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,1983-09-06,CO,Male,White,Widowed,Exceeds,4,2023-06-25,2,2,3,2022-10-26,Communication Skills,External,Incomplete,2,903.46,37
3541,2020-04-06,Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,1991-10-27,IN,Male,Black,Married,Exceeds,2,2022-11-28,1,3,3,2023-05-22,Customer Service,External,Passed,4,380.3,29
3542,2023-04-15,Area Sales Manager,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,1948-01-03,IN,Male,White,Married,Needs Improvement,1,2022-10-18,2,3,4,2022-08-22,Project Management,Internal,Failed,4,511.42,75
3543,2020-11-10,Area Sales Manager,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,1981-02-18,CA,Female,Black,Single,Fully Meets,2,2023-11-02,4,5,5,2023-05-21,Communication Skills,External,Passed,4,171.03,39
3544,2023-06-29,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,2000-09-16,CA,Male,Asian,Single,Fully Meets,2,2022-09-14,3,5,3,2023-05-02,Leadership Development,External,Passed,3,842.93,23
3545,2022-03-07,Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,1943-01-28,OR,Female,Black,Widowed,Fully Meets,1,2023-05-27,2,5,2,2023-05-04,Customer Service,External,Incomplete,5,581.12,79
3546,2021-07-31,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,1980-07-14,ND,Male,Hispanic,Widowed,Exceeds,1,2023-10-05,2,5,5,2022-11-21,Project Management,External,Passed,4,426.45,41
3547,2022-01-20,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,1947-03-25,KY,Female,Other,Married,Needs Improvement,2,2022-12-24,2,4,2,2023-04-24,Technical Skills,External,Failed,4,805.05,75
3548,2021-07-11,Area Sales Manager,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,1964-01-25,KY,Female,White,Single,Fully Meets,1,2022-06-10,5,5,3,2022-08-16,Leadership Development,External,Passed,3,368.8,57
3549,2018-10-15,Area Sales Manager,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,1955-03-17,GA,Female,Black,Divorced,Fully Meets,2,2023-04-19,1,4,1,2022-11-02,Communication Skills,External,Failed,5,788.67,63
3551,2018-08-11,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,1954-04-07,TX,Male,Black,Married,Needs Improvement,4,2023-03-06,4,4,3,2022-10-27,Communication Skills,External,Incomplete,1,570.13,64
3552,2020-02-16,Area Sales Manager,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,1942-11-08,CO,Male,White,Single,Needs Improvement,1,2022-10-14,3,4,2,2022-11-26,Leadership Development,External,Failed,4,480.87,78
3553,2020-01-20,Area Sales Manager,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,1949-07-05,CO,Male,Black,Divorced,Fully Meets,4,2022-10-30,4,2,4,2022-12-11,Project Management,Internal,Incomplete,5,689.48,71
3554,2019-03-31,Area Sales Manager,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,1958-10-14,IN,Male,Asian,Widowed,Fully Meets,1,2023-07-06,2,1,2,2023-06-05,Project Management,Internal,Completed,4,283.33,61
3555,2023-01-06,Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,Sales,General - Eng,1988-11-01,IN,Female,Hispanic,Widowed,Fully Meets,4,2023-01-13,2,5,1,2023-03-04,Leadership Development,External,Passed,4,566.12,35
3556,2019-07-18,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Temporary,Sales,Wireline Construction,1961-06-16,CA,Male,White,Single,Exceeds,2,2023-11-06,2,2,3,2023-02-11,Customer Service,Internal,Incomplete,1,513.92,58
